Address,Value,Instruction
0x00C0,0x6100,Instruction::ALU(AluAttributes { opcode: OpN, r2pc: false, t2n: false, t2r: false, n2_at_t: false, r_dir: 0, d_dir: 0 })
0x00C2,0x700C,Instruction::ALU(AluAttributes { opcode: OpT, r2pc: true, t2n: false, t2r: false, n2_at_t: false, r_dir: -1, d_dir: 0 })
0x00C4,0x404E,Instruction::Call(0x004E)
0x00C6,0x005E,Instruction::Jump(0x005E)
0x00C8,0x404D,Instruction::Call(0x004D)
0x00CA,0x005D,Instruction::Jump(0x005D)
0x00CC,0x404C,Instruction::Call(0x004C)
0x00CE,0x005C,Instruction::Jump(0x005C)
0x00D0,0x404B,Instruction::Call(0x004B)
0x00D2,0x005B,Instruction::Jump(0x005B)
0x00D4,0x404A,Instruction::Call(0x004A)
0x00D6,0x005A,Instruction::Jump(0x005A)
0x00D8,0x4049,Instruction::Call(0x0049)
0x00DA,0x0059,Instruction::Jump(0x0059)
0x00DC,0x4048,Instruction::Call(0x0048)
0x00DE,0x0058,Instruction::Jump(0x0058)
0x00E0,0x4047,Instruction::Call(0x0047)
0x00E2,0x0057,Instruction::Jump(0x0057)
0x00E4,0x4046,Instruction::Call(0x0046)
0x00E6,0x0056,Instruction::Jump(0x0056)
0x00E8,0x4045,Instruction::Call(0x0045)
0x00EA,0x0055,Instruction::Jump(0x0055)
0x00EC,0x4044,Instruction::Call(0x0044)
0x00EE,0x0054,Instruction::Jump(0x0054)
0x00F0,0x4043,Instruction::Call(0x0043)
0x00F2,0x0053,Instruction::Jump(0x0053)
0x00F4,0x4042,Instruction::Call(0x0042)
0x00F6,0x0052,Instruction::Jump(0x0052)
0x00F8,0x4041,Instruction::Call(0x0041)
0x00FA,0x0051,Instruction::Jump(0x0051)
0x00FC,0x4040,Instruction::Call(0x0040)
0x00FE,0x0050,Instruction::Jump(0x0050)
0x0100,0x700C,Instruction::ALU(AluAttributes { opcode: OpT, r2pc: true, t2n: false, t2r: false, n2_at_t: false, r_dir: -1, d_dir: 0 })
0x0102,0x0000,Instruction::Jump(0x0000)
0x0104,0x0000,Instruction::Jump(0x0000)
0x0106,0x0000,Instruction::Jump(0x0000)
0x0108,0x0000,Instruction::Jump(0x0000)
0x010A,0x0000,Instruction::Jump(0x0000)
0x010C,0x0000,Instruction::Jump(0x0000)
0x010E,0x0000,Instruction::Jump(0x0000)
0x0110,0x0000,Instruction::Jump(0x0000)
0x0112,0x0000,Instruction::Jump(0x0000)
0x0114,0x0000,Instruction::Jump(0x0000)
0x0116,0x0000,Instruction::Jump(0x0000)
0x0118,0x0000,Instruction::Jump(0x0000)
0x011A,0x0000,Instruction::Jump(0x0000)
0x011C,0x0000,Instruction::Jump(0x0000)
0x011E,0x0000,Instruction::Jump(0x0000)
0x0120,0x0000,Instruction::Jump(0x0000)
0x0122,0x0000,Instruction::Jump(0x0000)
0x0124,0x0000,Instruction::Jump(0x0000)
0x0126,0x0000,Instruction::Jump(0x0000)
0x0128,0x0000,Instruction::Jump(0x0000)
0x012A,0x0000,Instruction::Jump(0x0000)
0x012C,0x0000,Instruction::Jump(0x0000)
0x012E,0x0000,Instruction::Jump(0x0000)
0x0130,0x0000,Instruction::Jump(0x0000)
0x0132,0x0000,Instruction::Jump(0x0000)
0x0134,0x0000,Instruction::Jump(0x0000)
0x0136,0x0000,Instruction::Jump(0x0000)
0x0138,0x0000,Instruction::Jump(0x0000)
0x013A,0x0000,Instruction::Jump(0x0000)
0x013C,0x0000,Instruction::Jump(0x0000)
0x013E,0x0000,Instruction::Jump(0x0000)
0x0140,0x0000,Instruction::Jump(0x0000)
0x0142,0x0000,Instruction::Jump(0x0000)
0x0144,0x0000,Instruction::Jump(0x0000)
0x0146,0x0000,Instruction::Jump(0x0000)
0x0148,0x0000,Instruction::Jump(0x0000)
0x014A,0x0000,Instruction::Jump(0x0000)
0x014C,0x0000,Instruction::Jump(0x0000)
0x014E,0x0000,Instruction::Jump(0x0000)
0x0150,0x0000,Instruction::Jump(0x0000)
0x0152,0x0000,Instruction::Jump(0x0000)
0x0154,0x0000,Instruction::Jump(0x0000)
0x0156,0x0000,Instruction::Jump(0x0000)
0x0158,0x0000,Instruction::Jump(0x0000)
0x015A,0x0000,Instruction::Jump(0x0000)
0x015C,0x0000,Instruction::Jump(0x0000)
0x015E,0x0000,Instruction::Jump(0x0000)
0x0160,0x0000,Instruction::Jump(0x0000)
0x0162,0x0000,Instruction::Jump(0x0000)
0x0164,0x0000,Instruction::Jump(0x0000)
0x0166,0x0000,Instruction::Jump(0x0000)
0x0168,0x0000,Instruction::Jump(0x0000)
0x016A,0x0000,Instruction::Jump(0x0000)
0x016C,0x0000,Instruction::Jump(0x0000)
0x016E,0x0000,Instruction::Jump(0x0000)
0x0170,0x0000,Instruction::Jump(0x0000)
0x0172,0x0000,Instruction::Jump(0x0000)
0x0174,0x0000,Instruction::Jump(0x0000)
0x0176,0x0000,Instruction::Jump(0x0000)
0x0178,0x0000,Instruction::Jump(0x0000)
0x017A,0x0000,Instruction::Jump(0x0000)
0x017C,0x0000,Instruction::Jump(0x0000)
0x017E,0x0000,Instruction::Jump(0x0000)
0x0180,0x0000,Instruction::Jump(0x0000)
0x0182,0x6E04,Instruction::ALU(AluAttributes { opcode: OpDepth, r2pc: false, t2n: false, t2r: false, n2_at_t: false, r_dir: 1, d_dir: 0 })
0x0184,0x6F6F,Instruction::ALU(AluAttributes { opcode: OpNuleT, r2pc: false, t2n: false, t2r: true, n2_at_t: true, r_dir: -1, d_dir: -1 })
0x0186,0x0070,Instruction::Jump(0x0070)
0x0188,0x700C,Instruction::ALU(AluAttributes { opcode: OpT, r2pc: true, t2n: false, t2r: false, n2_at_t: false, r_dir: -1, d_dir: 0 })
0x018A,0x0182,Instruction::Jump(0x0182)
0x018C,0x2B01,Instruction::Conditional(0x0B01)
0x018E,0x720F,Instruction::ALU(AluAttributes { opcode: OpTplusN, r2pc: true, t2n: false, t2r: false, n2_at_t: false, r_dir: -1, d_dir: -1 })
0x0190,0x018C,Instruction::Jump(0x018C)
0x0192,0x7803,Instruction::ALU(AluAttributes { opcode: OpNleT, r2pc: true, t2n: false, t2r: false, n2_at_t: false, r_dir: 0, d_dir: -1 })
0x0194,0x726F,Instruction::ALU(AluAttributes { opcode: OpTplusN, r2pc: true, t2n: false, t2r: true, n2_at_t: true, r_dir: -1, d_dir: -1 })
0x0196,0x750F,Instruction::ALU(AluAttributes { opcode: OpTxorN, r2pc: true, t2n: false, t2r: false, n2_at_t: false, r_dir: -1, d_dir: -1 })
0x0198,0x0192,Instruction::Jump(0x0192)
0x019A,0x6103,Instruction::ALU(AluAttributes { opcode: OpN, r2pc: false, t2n: false, t2r: false, n2_at_t: false, r_dir: 0, d_dir: -1 })
0x019C,0x646E,Instruction::ALU(AluAttributes { opcode: OpTorN, r2pc: false, t2n: false, t2r: true, n2_at_t: true, r_dir: -1, d_dir: -2 })
0x019E,0x730F,Instruction::ALU(AluAttributes { opcode: OpTandN, r2pc: true, t2n: false, t2r: false, n2_at_t: false, r_dir: -1, d_dir: -1 })
0x01A0,0x019A,Instruction::Jump(0x019A)
0x01A2,0x6F02,Instruction::ALU(AluAttributes { opcode: OpNuleT, r2pc: false, t2n: false, t2r: false, n2_at_t: false, r_dir: 0, d_dir: -2 })
0x01A4,0x0072,Instruction::Jump(0x0072)
0x01A6,0x740F,Instruction::ALU(AluAttributes { opcode: OpTorN, r2pc: true, t2n: false, t2r: false, n2_at_t: false, r_dir: -1, d_dir: -1 })
0x01A8,0x01A2,Instruction::Jump(0x01A2)
0x01AA,0x6906,Instruction::ALU(AluAttributes { opcode: OpNrshiftT, r2pc: false, t2n: false, t2r: false, n2_at_t: false, r_dir: 1, d_dir: -2 })
0x01AC,0x766E,Instruction::ALU(AluAttributes { opcode: OpNotT, r2pc: true, t2n: false, t2r: true, n2_at_t: true, r_dir: -1, d_dir: -2 })
0x01AE,0x7265,Instruction::ALU(AluAttributes { opcode: OpTplusN, r2pc: true, t2n: false, t2r: true, n2_at_t: true, r_dir: 1, d_dir: 1 })
0x01B0,0x0074,Instruction::Jump(0x0074)
0x01B2,0x760C,Instruction::ALU(AluAttributes { opcode: OpNotT, r2pc: true, t2n: false, t2r: false, n2_at_t: false, r_dir: -1, d_dir: 0 })
0x01B4,0x01AA,Instruction::Jump(0x01AA)
0x01B6,0x3D01,Instruction::Conditional(0x1D01)
0x01B8,0x770F,Instruction::ALU(AluAttributes { opcode: OpNeqT, r2pc: true, t2n: false, t2r: false, n2_at_t: false, r_dir: -1, d_dir: -1 })
0x01BA,0x01B6,Instruction::Jump(0x01B6)
0x01BC,0x3C01,Instruction::Conditional(0x1C01)
0x01BE,0x780F,Instruction::ALU(AluAttributes { opcode: OpNleT, r2pc: true, t2n: false, t2r: false, n2_at_t: false, r_dir: -1, d_dir: -1 })
0x01C0,0x01BC,Instruction::Jump(0x01BC)
0x01C2,0x7502,Instruction::ALU(AluAttributes { opcode: OpTxorN, r2pc: true, t2n: false, t2r: false, n2_at_t: false, r_dir: 0, d_dir: -2 })
0x01C4,0x003C,Instruction::Jump(0x003C)
0x01C6,0x7F0F,Instruction::ALU(AluAttributes { opcode: OpNuleT, r2pc: true, t2n: false, t2r: false, n2_at_t: false, r_dir: -1, d_dir: -1 })
0x01C8,0x01C2,Instruction::Jump(0x01C2)
0x01CA,0x7304,Instruction::ALU(AluAttributes { opcode: OpTandN, r2pc: true, t2n: false, t2r: false, n2_at_t: false, r_dir: 1, d_dir: 0 })
0x01CC,0x6177,Instruction::ALU(AluAttributes { opcode: OpN, r2pc: false, t2n: false, t2r: true, n2_at_t: true, r_dir: 1, d_dir: -1 })
0x01CE,0x0070,Instruction::Jump(0x0070)
0x01D0,0x718C,Instruction::ALU(AluAttributes { opcode: OpN, r2pc: true, t2n: true, t2r: false, n2_at_t: false, r_dir: -1, d_dir: 0 })
0x01D2,0x01CA,Instruction::Jump(0x01CA)
0x01D4,0x7502,Instruction::ALU(AluAttributes { opcode: OpTxorN, r2pc: true, t2n: false, t2r: false, n2_at_t: false, r_dir: 0, d_dir: -2 })
0x01D6,0x003E,Instruction::Jump(0x003E)
0x01D8,0x6180,Instruction::ALU(AluAttributes { opcode: OpN, r2pc: false, t2n: true, t2r: false, n2_at_t: false, r_dir: 0, d_dir: 0 })
0x01DA,0x7F0F,Instruction::ALU(AluAttributes { opcode: OpNuleT, r2pc: true, t2n: false, t2r: false, n2_at_t: false, r_dir: -1, d_dir: -1 })
0x01DC,0x01D4,Instruction::Jump(0x01D4)
0x01DE,0x6403,Instruction::ALU(AluAttributes { opcode: OpTorN, r2pc: false, t2n: false, t2r: false, n2_at_t: false, r_dir: 0, d_dir: -1 })
0x01E0,0x7075,Instruction::ALU(AluAttributes { opcode: OpT, r2pc: true, t2n: false, t2r: true, n2_at_t: true, r_dir: 1, d_dir: 1 })
0x01E2,0x708D,Instruction::ALU(AluAttributes { opcode: OpT, r2pc: true, t2n: true, t2r: false, n2_at_t: false, r_dir: -1, d_dir: 1 })
0x01E4,0x01DE,Instruction::Jump(0x01DE)
0x01E6,0x6404,Instruction::ALU(AluAttributes { opcode: OpTorN, r2pc: false, t2n: false, t2r: false, n2_at_t: false, r_dir: 1, d_dir: 0 })
0x01E8,0x6F72,Instruction::ALU(AluAttributes { opcode: OpNuleT, r2pc: false, t2n: false, t2r: true, n2_at_t: true, r_dir: 0, d_dir: -2 })
0x01EA,0x0070,Instruction::Jump(0x0070)
0x01EC,0x710F,Instruction::ALU(AluAttributes { opcode: OpN, r2pc: true, t2n: false, t2r: false, n2_at_t: false, r_dir: -1, d_dir: -1 })
0x01EE,0x01E6,Instruction::Jump(0x01E6)
0x01F0,0x6F04,Instruction::ALU(AluAttributes { opcode: OpNuleT, r2pc: false, t2n: false, t2r: false, n2_at_t: false, r_dir: 1, d_dir: 0 })
0x01F2,0x6576,Instruction::ALU(AluAttributes { opcode: OpTxorN, r2pc: false, t2n: false, t2r: true, n2_at_t: true, r_dir: 1, d_dir: -2 })
0x01F4,0x0072,Instruction::Jump(0x0072)
0x01F6,0x718D,Instruction::ALU(AluAttributes { opcode: OpN, r2pc: true, t2n: true, t2r: false, n2_at_t: false, r_dir: -1, d_dir: 1 })
0x01F8,0x01F0,Instruction::Jump(0x01F0)
0x01FA,0x6E03,Instruction::ALU(AluAttributes { opcode: OpDepth, r2pc: false, t2n: false, t2r: false, n2_at_t: false, r_dir: 0, d_dir: -1 })
0x01FC,0x7069,Instruction::ALU(AluAttributes { opcode: OpT, r2pc: true, t2n: false, t2r: true, n2_at_t: true, r_dir: -2, d_dir: 1 })
0x01FE,0x700F,Instruction::ALU(AluAttributes { opcode: OpT, r2pc: true, t2n: false, t2r: false, n2_at_t: false, r_dir: -1, d_dir: -1 })
0x0200,0x01FA,Instruction::Jump(0x01FA)
0x0202,0x6C06,Instruction::ALU(AluAttributes { opcode: OpAtT, r2pc: false, t2n: false, t2r: false, n2_at_t: false, r_dir: 1, d_dir: -2 })
0x0204,0x6873,Instruction::ALU(AluAttributes { opcode: OpNleT, r2pc: false, t2n: false, t2r: true, n2_at_t: true, r_dir: 0, d_dir: -1 })
0x0206,0x6669,Instruction::ALU(AluAttributes { opcode: OpNotT, r2pc: false, t2n: false, t2r: true, n2_at_t: true, r_dir: -2, d_dir: 1 })
0x0208,0x0074,Instruction::Jump(0x0074)
0x020A,0x7D0F,Instruction::ALU(AluAttributes { opcode: OpNlshiftT, r2pc: true, t2n: false, t2r: false, n2_at_t: false, r_dir: -1, d_dir: -1 })
0x020C,0x0202,Instruction::Jump(0x0202)
0x020E,0x7206,Instruction::ALU(AluAttributes { opcode: OpTplusN, r2pc: true, t2n: false, t2r: false, n2_at_t: false, r_dir: 1, d_dir: -2 })
0x0210,0x6873,Instruction::ALU(AluAttributes { opcode: OpNleT, r2pc: false, t2n: false, t2r: true, n2_at_t: true, r_dir: 0, d_dir: -1 })
0x0212,0x6669,Instruction::ALU(AluAttributes { opcode: OpNotT, r2pc: false, t2n: false, t2r: true, n2_at_t: true, r_dir: -2, d_dir: 1 })
0x0214,0x0074,Instruction::Jump(0x0074)
0x0216,0x790F,Instruction::ALU(AluAttributes { opcode: OpNrshiftT, r2pc: true, t2n: false, t2r: false, n2_at_t: false, r_dir: -1, d_dir: -1 })
0x0218,0x020E,Instruction::Jump(0x020E)
0x021A,0x3102,Instruction::Conditional(0x1102)
0x021C,0x002D,Instruction::Jump(0x002D)
0x021E,0x7A0C,Instruction::ALU(AluAttributes { opcode: OpTminus1, r2pc: true, t2n: false, t2r: false, n2_at_t: false, r_dir: -1, d_dir: 0 })
0x0220,0x021A,Instruction::Jump(0x021A)
0x0222,0x3E42,Instruction::Conditional(0x1E42)
0x0224,0x0072,Instruction::Jump(0x0072)
0x0226,0x6B8D,Instruction::ALU(AluAttributes { opcode: OpR, r2pc: false, t2n: true, t2r: false, n2_at_t: false, r_dir: -1, d_dir: 1 })
0x0228,0x6180,Instruction::ALU(AluAttributes { opcode: OpN, r2pc: false, t2n: true, t2r: false, n2_at_t: false, r_dir: 0, d_dir: 0 })
0x022A,0x6147,Instruction::ALU(AluAttributes { opcode: OpN, r2pc: false, t2n: false, t2r: true, n2_at_t: false, r_dir: 1, d_dir: -1 })
0x022C,0x6147,Instruction::ALU(AluAttributes { opcode: OpN, r2pc: false, t2n: false, t2r: true, n2_at_t: false, r_dir: 1, d_dir: -1 })
0x022E,0x700C,Instruction::ALU(AluAttributes { opcode: OpT, r2pc: true, t2n: false, t2r: false, n2_at_t: false, r_dir: -1, d_dir: 0 })
0x0230,0x0222,Instruction::Jump(0x0222)
0x0232,0x7242,Instruction::ALU(AluAttributes { opcode: OpTplusN, r2pc: true, t2n: false, t2r: true, n2_at_t: false, r_dir: 0, d_dir: -2 })
0x0234,0x003E,Instruction::Jump(0x003E)
0x0236,0x6B8D,Instruction::ALU(AluAttributes { opcode: OpR, r2pc: false, t2n: true, t2r: false, n2_at_t: false, r_dir: -1, d_dir: 1 })
0x0238,0x6B8D,Instruction::ALU(AluAttributes { opcode: OpR, r2pc: false, t2n: true, t2r: false, n2_at_t: false, r_dir: -1, d_dir: 1 })
0x023A,0x6180,Instruction::ALU(AluAttributes { opcode: OpN, r2pc: false, t2n: true, t2r: false, n2_at_t: false, r_dir: 0, d_dir: 0 })
0x023C,0x6147,Instruction::ALU(AluAttributes { opcode: OpN, r2pc: false, t2n: false, t2r: true, n2_at_t: false, r_dir: 1, d_dir: -1 })
0x023E,0x700C,Instruction::ALU(AluAttributes { opcode: OpT, r2pc: true, t2n: false, t2r: false, n2_at_t: false, r_dir: -1, d_dir: 0 })
0x0240,0x0232,Instruction::Jump(0x0232)
0x0242,0x7242,Instruction::ALU(AluAttributes { opcode: OpTplusN, r2pc: true, t2n: false, t2r: true, n2_at_t: false, r_dir: 0, d_dir: -2 })
0x0244,0x0040,Instruction::Jump(0x0040)
0x0246,0x6B8D,Instruction::ALU(AluAttributes { opcode: OpR, r2pc: false, t2n: true, t2r: false, n2_at_t: false, r_dir: -1, d_dir: 1 })
0x0248,0x6B8D,Instruction::ALU(AluAttributes { opcode: OpR, r2pc: false, t2n: true, t2r: false, n2_at_t: false, r_dir: -1, d_dir: 1 })
0x024A,0x6081,Instruction::ALU(AluAttributes { opcode: OpT, r2pc: false, t2n: true, t2r: false, n2_at_t: false, r_dir: 0, d_dir: 1 })
0x024C,0x6147,Instruction::ALU(AluAttributes { opcode: OpN, r2pc: false, t2n: false, t2r: true, n2_at_t: false, r_dir: 1, d_dir: -1 })
0x024E,0x6180,Instruction::ALU(AluAttributes { opcode: OpN, r2pc: false, t2n: true, t2r: false, n2_at_t: false, r_dir: 0, d_dir: 0 })
0x0250,0x6147,Instruction::ALU(AluAttributes { opcode: OpN, r2pc: false, t2n: false, t2r: true, n2_at_t: false, r_dir: 1, d_dir: -1 })
0x0252,0x700C,Instruction::ALU(AluAttributes { opcode: OpT, r2pc: true, t2n: false, t2r: false, n2_at_t: false, r_dir: -1, d_dir: 0 })
0x0254,0x0242,Instruction::Jump(0x0242)
0x0256,0x4001,Instruction::Call(0x0001)
0x0258,0x7C0C,Instruction::ALU(AluAttributes { opcode: OpAtT, r2pc: true, t2n: false, t2r: false, n2_at_t: false, r_dir: -1, d_dir: 0 })
0x025A,0x0256,Instruction::Jump(0x0256)
0x025C,0x2101,Instruction::Conditional(0x0101)
0x025E,0x6023,Instruction::ALU(AluAttributes { opcode: OpT, r2pc: false, t2n: false, t2r: false, n2_at_t: true, r_dir: 0, d_dir: -1 })
0x0260,0x710F,Instruction::ALU(AluAttributes { opcode: OpN, r2pc: true, t2n: false, t2r: false, n2_at_t: false, r_dir: -1, d_dir: -1 })
0x0262,0x025C,Instruction::Jump(0x025C)
0x0264,0x3C02,Instruction::Conditional(0x1C02)
0x0266,0x003E,Instruction::Jump(0x003E)
0x0268,0x6703,Instruction::ALU(AluAttributes { opcode: OpNeqT, r2pc: false, t2n: false, t2r: false, n2_at_t: false, r_dir: 0, d_dir: -1 })
0x026A,0x760C,Instruction::ALU(AluAttributes { opcode: OpNotT, r2pc: true, t2n: false, t2r: false, n2_at_t: false, r_dir: -1, d_dir: 0 })
0x026C,0x0264,Instruction::Jump(0x0264)
0x026E,0x3002,Instruction::Conditional(0x1002)
0x0270,0x003C,Instruction::Jump(0x003C)
0x0272,0x8000,Instruction::Literal(0x0000)
